Iteraciones => 2000
0.0 88.83301646453032  13716
0.1 88.83375431508358  13532
0.2 88.83202200707717  13743
0.30000000000000004 88.83344590084856  13786
0.4 88.83333058345825  13898
0.5 88.83311510900188  13559
0.6000000000000001 88.83398368538961  13301
0.7000000000000001 88.83365283396263  13301
0.8 88.8336013803695  13309
0.9 88.83266120433704  13281
1.0 88.83745887847373  12996

Iteraciones => 4000
0.0 88.8328117706424  26354
0.1 88.83306682589041  26431
0.2 88.83357674180891  26557
0.30000000000000004 88.83317093140943  26498
0.4 88.83340773013992  26527
0.5 88.83252665362758  26733
0.6000000000000001 88.83264182366153  26616
0.7000000000000001 88.83310589400331  26560
0.8 88.83317479813523  27542
0.9 88.8331198166991  26734
1.0 88.83748876270607  26170

Iteraciones => 8000
0.0 88.83211677363934  52580
0.1 88.83226614872628  52762
0.2 88.8328141905323  53078
0.30000000000000004 88.8325801274706  52892
0.4 88.83214032459817  53823
0.5 88.83278732537363  53041
0.6000000000000001 88.83300836124698  53067
0.7000000000000001 88.8322586649443  58074
0.8 88.83290310891712  53314
0.9 88.83361948645707  53230
1.0 88.83765347138186  52230

Iteraciones => 16000
0.0 88.83260271442907  112644
0.1 88.83300244939525  120445
0.2 88.83194396690595  121257
0.30000000000000004 88.83249976480549  119682
0.4 88.83276062151006  115257
0.5 88.83292305360833  121229
0.6000000000000001 88.83233417209907  121827
0.7000000000000001 88.83178361053882  122116
0.8 88.83277248667842  118163
0.9 88.8326402045275  126438
1.0 88.83679939365766  114817

Iteraciones => 32000
0.0 88.83217104986228  240732
0.1 88.83209399209754  238995
0.2 88.83212165732269  221621
0.30000000000000004 88.83235884359058  250043
0.4 88.83247820373107  250351
0.5 88.83221424820128  259715
0.6000000000000001 88.83194349664193  258627
0.7000000000000001 88.83246869550537  236634
0.8 88.83229927914532  222229
0.9 88.83287054362646  226259
1.0 88.83658351724728  217215
